crypto,window,days,mean_effect,std_error,ci_lower,ci_upper,rank
BTC,narrow,3,0.4796203731525247,0.8059588143977875,-1.1000589030671386,2.0592996493721882,3.0
ETH,narrow,3,0.08985448338785249,0.6078298012596612,-1.1014919270810835,1.2812008938567885,5.0
XRP,narrow,3,0.7942813075820901,0.8488171667922363,-0.8694003393306929,2.457962954494873,2.0
BNB,narrow,3,0.9238766702630902,0.45733412990926525,0.02750177564093026,1.82025156488525,1.0
LTC,narrow,3,-0.024552224591961783,0.37548318465215536,-0.7604992665101863,0.7113948173262626,6.0
ADA,narrow,3,0.20736480628480403,0.424908569729138,-0.6254559903843064,1.0401856029539145,4.0
BTC,base,7,0.5119885473461382,0.7955601839133202,-1.0473094131239695,2.0712865078162457,3.0
ETH,base,7,0.13535909458966683,0.5471230132386009,-0.9370020113579909,1.2077202005373244,5.0
XRP,base,7,0.7861312647386404,0.8557913460680959,-0.8912197735548276,2.4634823030321082,2.0
BNB,base,7,0.8931696380262241,0.4463610359709991,0.018302007523065877,1.7680372685293824,1.0
LTC,base,7,-0.001099929575933599,0.3630222202603983,-0.7126234812863144,0.7104236221344471,6.0
ADA,base,7,0.1768857396807907,0.4104019118043828,-0.6275020074557995,0.9812734868173809,4.0
BTC,moderate,11,0.4418968405200251,0.8385044461812046,-1.2015718739951358,2.085365555035186,3.0
ETH,moderate,11,0.041967765155017774,0.578582455447789,-1.0920538475226484,1.1759893778326842,5.0
XRP,moderate,11,0.7309173303133968,0.800774790177556,-0.8386012584346131,2.3004359190614068,2.0
BNB,moderate,11,0.993953093795459,0.424977632968882,0.16099693317645025,1.8269092544144678,1.0
LTC,moderate,11,0.03602353638500406,0.35989445532562697,-0.6693695960532248,0.741416668823233,6.0
ADA,moderate,11,0.2637468805722573,0.4572619075140971,-0.6324864581553731,1.1599802192998876,4.0
BTC,wide,15,0.3849683485972644,0.7676673075689431,-1.119659574237864,1.8895962714323928,3.0
ETH,wide,15,0.21509003600551752,0.5697974087295367,-0.9017128851043743,1.3318929571154092,4.0
XRP,wide,15,0.8257554813947017,0.8260063006090741,-0.7932168677990836,2.444727830588487,1.0
BNB,wide,15,0.7030582340806647,0.37414585370218567,-0.030267639175619254,1.4363841073369485,2.0
LTC,wide,15,0.08585754947939467,0.36043469438734826,-0.6205944515198079,0.7923095504785973,6.0
ADA,wide,15,0.20900961818590327,0.40333685885833714,-0.5815306251764375,0.999549861548244,5.0
