Cryptocurrency,Event Type,N,Mean Coefficient,Std Error,Min,Max,Sig (5%),Sig (FDR)
BTC,Infrastructure,1,1.190834,0.518623,1.190834,1.190834,1,True
BTC,Regulatory,1,0.311496,0.261477,0.311496,0.311496,0,False
ETH,Infrastructure,1,2.814079,0.993163,2.814079,2.814079,1,True
ETH,Regulatory,1,0.554907,0.42202,0.554907,0.554907,0,False
XRP,Infrastructure,1,2.519016,1.215207,2.519016,2.519016,1,True
XRP,Regulatory,1,1.432648,1.286736,1.432648,1.432648,0,False
BNB,Infrastructure,1,1.498922,0.644436,1.498922,1.498922,1,True
BNB,Regulatory,1,0.164517,0.343146,0.164517,0.164517,0,False
LTC,Infrastructure,1,2.917151,1.571164,2.917151,2.917151,0,False
LTC,Regulatory,1,0.049307,0.585532,0.049307,0.049307,0,False
ADA,Infrastructure,1,3.370851,1.420288,3.370851,3.370851,1,True
ADA,Regulatory,1,-0.000165,0.843131,-0.000165,-0.000165,0,False
