asset,sentiment,control,p_uncontrolled,lag_uncontrolled,p_controlled,lag_controlled,n_weeks,uncontrolled_sig_005,controlled_sig_005,controlled_fdr_q005
btc,S_reg_decomposed,market_ex_asset_vol,0.1750050932284337,7,0.2613191242464919,8,342,False,False,False
btc,S_infra_decomposed,market_ex_asset_vol,0.11224418323742728,7,0.15980281810258964,8,342,False,False,False
btc,S_gdelt_normalized,market_ex_asset_vol,0.10873629227046773,7,0.22086250338430166,8,342,False,False,False
eth,S_reg_decomposed,market_ex_asset_vol,0.05529881811305741,8,0.05711255736234909,8,342,False,False,False
eth,S_infra_decomposed,market_ex_asset_vol,0.22035443569187738,2,0.2603426793695141,8,342,False,False,False
eth,S_gdelt_normalized,market_ex_asset_vol,0.06537399217948417,2,0.0744917260246191,2,342,False,False,False
xrp,S_reg_decomposed,btc_vol,0.0012821388714768646,2,0.0014158604259838698,2,342,True,True,True
xrp,S_infra_decomposed,btc_vol,0.010431729560842805,2,0.012210537233156054,2,342,True,True,True
xrp,S_gdelt_normalized,btc_vol,0.0008942682658020069,2,0.0009849557604947588,2,342,True,True,True
bnb,S_reg_decomposed,btc_vol,0.005669491151139159,4,0.004950821684210243,4,310,True,True,True
bnb,S_infra_decomposed,btc_vol,0.04938647177175385,2,0.044377625186833206,4,310,True,True,False
bnb,S_gdelt_normalized,btc_vol,0.022761855854865367,4,0.02382685294021346,4,310,True,True,False
ltc,S_reg_decomposed,btc_vol,0.042279816882254136,8,0.047906760206359505,8,342,True,True,False
ltc,S_infra_decomposed,btc_vol,0.595350371289227,8,0.6063457661956899,8,342,False,False,False
ltc,S_gdelt_normalized,btc_vol,0.16580069768085925,8,0.16448805716041642,8,342,False,False,False
ada,S_reg_decomposed,btc_vol,0.00053678626206921,2,0.0006396270938635712,2,342,True,True,True
ada,S_infra_decomposed,btc_vol,0.00546847633096495,2,0.0066630186099564635,2,342,True,True,True
ada,S_gdelt_normalized,btc_vol,0.0010186827773648504,2,0.0012356558469338139,2,342,True,True,True
