reg_pre_window,asset,dInfra,dReg,converged
3,btc,1.0079744456384592,0.29837164693859525,True
3,eth,2.2473909346040046,0.48810376748990936,True
3,xrp,2.2373501684450385,1.2192171638379488,True
3,bnb,1.2054549879580216,0.18140604050006828,True
3,ltc,2.3797111398868753,0.143743917466517,True
3,ada,2.7918613206258573,0.09900190230170701,True
5,btc,1.0011915281699357,0.2357057781431916,True
5,eth,2.2215374290205827,0.3778091977174144,True
5,xrp,2.2094751331714306,0.7845341613256583,True
5,bnb,1.189583728677138,0.09433484995894524,True
5,ltc,2.3717007035544233,0.10156720704804849,True
5,ada,2.780432054959544,0.03845394910083489,True
7,btc,1.0136914396736607,0.23472783548458886,True
7,eth,2.2322875949013574,0.3484912469095578,True
7,xrp,2.236718076500187,0.8206740518528937,True
7,bnb,1.1873038740843498,0.06811834452215139,True
7,ltc,2.3923287339636543,0.12276973535264162,True
7,ada,2.795842985376075,0.07732173563913239,True
10,btc,1.0134810275872597,0.21314025886229748,True
10,eth,2.202113723570563,0.2691188629496041,True
10,xrp,2.220315636160683,0.6765453329581445,True
10,bnb,1.1743054112895162,0.012549017679378494,True
10,ltc,2.382476759655643,0.08748114517777025,True
10,ada,2.8048592980616474,0.08669676081305597,True
